Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
10 Comunitat Valenciana;Gasto total;Dato base;2023M01;539,77
10 Comunitat Valenciana;Gasto total;Dato base;2022M12;592,58
10 Comunitat Valenciana;Gasto total;Dato base;2022M11;603,17
10 Comunitat Valenciana;Gasto total;Dato base;2022M10;889,87
10 Comunitat Valenciana;Gasto total;Dato base;2022M09;1.079,73
10 Comunitat Valenciana;Gasto total;Dato base;2022M08;1.383,84
10 Comunitat Valenciana;Gasto total;Dato base;2022M07;1.470,48
10 Comunitat Valenciana;Gasto total;Dato base;2022M06;1.079,41
10 Comunitat Valenciana;Gasto total;Dato base;2022M05;805,66
10 Comunitat Valenciana;Gasto total;Dato base;2022M04;799,20
10 Comunitat Valenciana;Gasto total;Dato base;2022M03;602,55
10 Comunitat Valenciana;Gasto total;Dato base;2022M02;474,05
10 Comunitat Valenciana;Gasto total;Dato base;2022M01;323,12
10 Comunitat Valenciana;Gasto total;Dato base;2021M12;401,81
10 Comunitat Valenciana;Gasto total;Dato base;2021M11;410,17
10 Comunitat Valenciana;Gasto total;Dato base;2021M10;684,93
10 Comunitat Valenciana;Gasto total;Dato base;2021M09;659,41
10 Comunitat Valenciana;Gasto total;Dato base;2021M08;802,68
10 Comunitat Valenciana;Gasto total;Dato base;2021M07;721,52
10 Comunitat Valenciana;Gasto total;Dato base;2021M06;302,31
10 Comunitat Valenciana;Gasto total;Dato base;2021M05;154,49
10 Comunitat Valenciana;Gasto total;Dato base;2021M04;71,04
10 Comunitat Valenciana;Gasto total;Dato base;2021M03;69,53
10 Comunitat Valenciana;Gasto total;Dato base;2021M02;39,84
10 Comunitat Valenciana;Gasto total;Dato base;2021M01;54,62
10 Comunitat Valenciana;Gasto total;Dato base;2020M12;74,58
10 Comunitat Valenciana;Gasto total;Dato base;2020M11;50,10
10 Comunitat Valenciana;Gasto total;Dato base;2020M10;156,56
10 Comunitat Valenciana;Gasto total;Dato base;2020M09;162,06
10 Comunitat Valenciana;Gasto total;Dato base;2020M08;407,89
10 Comunitat Valenciana;Gasto total;Dato base;2020M07;380,29
10 Comunitat Valenciana;Gasto total;Dato base;2020M06;18,24
10 Comunitat Valenciana;Gasto total;Dato base;2020M05;0,00
10 Comunitat Valenciana;Gasto total;Dato base;2020M04;0,00
10 Comunitat Valenciana;Gasto total;Dato base;2020M03;244,89
10 Comunitat Valenciana;Gasto total;Dato base;2020M02;529,39
10 Comunitat Valenciana;Gasto total;Dato base;2020M01;446,48
10 Comunitat Valenciana;Gasto total;Dato base;2019M12;477,92
10 Comunitat Valenciana;Gasto total;Dato base;2019M11;518,38
10 Comunitat Valenciana;Gasto total;Dato base;2019M10;836,77
10 Comunitat Valenciana;Gasto total;Dato base;2019M09;1.010,16
10 Comunitat Valenciana;Gasto total;Dato base;2019M08;1.417,09
10 Comunitat Valenciana;Gasto total;Dato base;2019M07;1.362,61
10 Comunitat Valenciana;Gasto total;Dato base;2019M06;920,02
10 Comunitat Valenciana;Gasto total;Dato base;2019M05;746,28
10 Comunitat Valenciana;Gasto total;Dato base;2019M04;715,31
10 Comunitat Valenciana;Gasto total;Dato base;2019M03;634,76
10 Comunitat Valenciana;Gasto total;Dato base;2019M02;475,32
10 Comunitat Valenciana;Gasto total;Dato base;2019M01;438,43
10 Comunitat Valenciana;Gasto total;Dato base;2018M12;438,72
10 Comunitat Valenciana;Gasto total;Dato base;2018M11;471,74
10 Comunitat Valenciana;Gasto total;Dato base;2018M10;784,68
10 Comunitat Valenciana;Gasto total;Dato base;2018M09;967,51
10 Comunitat Valenciana;Gasto total;Dato base;2018M08;1.274,27
10 Comunitat Valenciana;Gasto total;Dato base;2018M07;1.194,66
10 Comunitat Valenciana;Gasto total;Dato base;2018M06;848,20
10 Comunitat Valenciana;Gasto total;Dato base;2018M05;784,96
10 Comunitat Valenciana;Gasto total;Dato base;2018M04;675,07
10 Comunitat Valenciana;Gasto total;Dato base;2018M03;607,35
10 Comunitat Valenciana;Gasto total;Dato base;2018M02;437,54
10 Comunitat Valenciana;Gasto total;Dato base;2018M01;435,28
10 Comunitat Valenciana;Gasto total;Dato base;2017M12;394,24
10 Comunitat Valenciana;Gasto total;Dato base;2017M11;415,77
10 Comunitat Valenciana;Gasto total;Dato base;2017M10;743,57
10 Comunitat Valenciana;Gasto total;Dato base;2017M09;945,82
10 Comunitat Valenciana;Gasto total;Dato base;2017M08;1.262,70
10 Comunitat Valenciana;Gasto total;Dato base;2017M07;1.242,73
10 Comunitat Valenciana;Gasto total;Dato base;2017M06;780,27
10 Comunitat Valenciana;Gasto total;Dato base;2017M05;761,08
10 Comunitat Valenciana;Gasto total;Dato base;2017M04;648,89
10 Comunitat Valenciana;Gasto total;Dato base;2017M03;516,26
10 Comunitat Valenciana;Gasto total;Dato base;2017M02;425,36
10 Comunitat Valenciana;Gasto total;Dato base;2017M01;392,13
10 Comunitat Valenciana;Gasto total;Dato base;2016M12;446,01
10 Comunitat Valenciana;Gasto total;Dato base;2016M11;370,88
10 Comunitat Valenciana;Gasto total;Dato base;2016M10;678,74
10 Comunitat Valenciana;Gasto total;Dato base;2016M09;818,58
10 Comunitat Valenciana;Gasto total;Dato base;2016M08;1.137,94
10 Comunitat Valenciana;Gasto total;Dato base;2016M07;1.013,35
10 Comunitat Valenciana;Gasto total;Dato base;2016M06;694,84
10 Comunitat Valenciana;Gasto total;Dato base;2016M05;636,84
10 Comunitat Valenciana;Gasto total;Dato base;2016M04;584,71
10 Comunitat Valenciana;Gasto total;Dato base;2016M03;428,19
10 Comunitat Valenciana;Gasto total;Dato base;2016M02;319,12
10 Comunitat Valenciana;Gasto total;Dato base;2016M01;308,13
10 Comunitat Valenciana;Gasto total;Dato base;2015M12;314,31
10 Comunitat Valenciana;Gasto total;Dato base;2015M11;282,48
10 Comunitat Valenciana;Gasto total;Dato base;2015M10;547,51
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M07;11,61
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M06;6,02
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M05;11,96
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M04;16,63
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M03;6,69
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M02;3,66
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2026M01;3,06
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M12;8,88
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M11;9,20
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M10;-1,55
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M09;5,47
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M08;6,16
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M07;7,96
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M06;1,77
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M05;4,63
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M04;13,57
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M03;8,25
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M02;11,30
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2025M01;-1,44
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M12;2,00
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M11;15,79
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M10;11,20
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M09;15,50
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M08;25,80
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M07;19,63
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M06;25,67
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M05;28,58
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M04;16,68
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M03;29,81
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M02;30,19
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2024M01;39,30
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M12;40,33
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M11;21,72
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M10;35,90
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M09;21,14
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M08;21,27
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M07;16,78
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M06;2,90
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M05;27,99
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M04;18,46
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M03;31,49
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M02;29,26
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2023M01;67,05
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M12;47,48
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M11;47,06
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M10;29,92
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M09;63,74
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M08;72,40
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M07;103,80
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M06;257,05
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M05;421,50
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M04;1.024,92
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M03;766,66
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M02;1.089,99
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2022M01;491,62
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M12;438,74
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M11;718,65
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M10;337,48
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M09;306,89
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M08;96,79
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M07;89,73
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M06;1.557,65
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M05;..
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M04;..
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M03;-71,61
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M02;-92,47
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2021M01;-87,77
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M12;-84,39
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M11;-90,33
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M10;-81,29
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M09;-83,96
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M08;-71,22
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M07;-72,09
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M06;-98,02
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M05;-100,00
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M04;-100,00
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M03;-61,42
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M02;11,38
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2020M01;1,83
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M12;8,93
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M11;9,89
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M10;6,64
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M09;4,41
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M08;11,21
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M07;14,06
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M06;8,47
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M05;-4,93
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M04;5,96
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M03;4,51
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M02;8,63
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2019M01;0,72
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M12;11,28
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M11;13,46
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M10;5,53
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M09;2,29
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M08;0,92
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M07;-3,87
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M06;8,70
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M05;3,14
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M04;4,03
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M03;17,64
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M02;2,86
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2018M01;11,00
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M12;-11,61
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M11;12,10
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M10;9,55
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M09;15,54
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M08;10,96
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M07;22,64
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M06;12,30
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M05;19,51
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M04;10,98
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M03;20,57
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M02;33,29
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2017M01;27,26
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M12;41,90
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M11;31,29
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M10;23,97
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M09;20,52
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M08;12,38
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M07;10,42
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M06;13,65
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M05;13,47
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M04;17,41
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M03;9,57
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M02;12,14
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2016M01;10,31
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2015M12;18,12
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2015M11;-2,87
10 Comunitat Valenciana;Gasto total;Tasa de variación anual;2015M10;-1,67
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M07;9.869,77
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M06;7.394,32
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M05;5.888,29
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M04;4.335,04
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M03;2.871,94
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M02;1.684,08
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2026M01;763,77
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M12;16.032,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M11;15.109,28
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M10;14.180,95
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M09;12.857,02
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M08;11.263,62
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M07;9.022,42
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M06;6.804,57
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M05;5.384,06
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M04;3.996,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M03;2.742,29
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M02;1.628,92
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2025M01;741,07
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M12;15.123,74
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M11;14.275,55
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M10;13.425,41
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M09;12.080,67
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M08;10.569,90
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M07;8.458,74
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M06;6.404,46
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M05;5.008,59
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M04;3.682,68
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M03;2.578,09
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M02;1.549,59
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2024M01;751,87
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M12;12.511,93
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M11;11.680,34
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M10;10.946,16
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M09;9.736,86
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M08;8.428,86
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M07;6.750,63
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M06;5.033,45
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M05;3.922,71
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M04;2.891,54
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M03;1.944,84
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M02;1.152,52
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2023M01;539,77
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M12;10.103,66
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M11;9.511,08
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M10;8.907,90
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M09;8.018,03
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M08;6.938,30
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M07;5.554,46
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M06;4.083,98
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M05;3.004,58
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M04;2.198,92
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M03;1.399,72
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M02;797,17
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2022M01;323,12
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M12;4.372,35
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M11;3.970,54
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M10;3.560,37
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M09;2.875,44
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M08;2.216,03
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M07;1.413,35
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M06;691,83
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M05;389,51
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M04;235,02
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M03;163,98
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M02;94,45
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2021M01;54,62
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M12;2.470,48
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M11;2.395,90
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M10;2.345,80
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M09;2.189,23
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M08;2.027,17
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M07;1.619,28
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M06;1.238,99
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M05;1.220,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M04;1.220,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M03;1.220,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M02;975,87
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2020M01;446,48
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M12;9.553,06
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M11;9.075,14
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M10;8.556,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M09;7.719,98
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M08;6.709,83
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M07;5.292,74
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M06;3.930,13
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M05;3.010,11
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M04;2.263,83
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M03;1.548,52
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M02;913,76
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2019M01;438,43
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M12;8.919,99
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M11;8.481,26
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M10;8.009,53
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M09;7.224,84
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M08;6.257,33
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M07;4.983,06
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M06;3.788,40
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M05;2.940,20
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M04;2.155,24
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M03;1.480,17
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M02;872,82
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2018M01;435,28
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M12;8.528,83
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M11;8.134,58
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M10;7.718,82
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M09;6.975,24
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M08;6.029,43
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M07;4.766,73
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M06;3.524,00
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M05;2.743,72
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M04;1.982,65
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M03;1.333,75
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M02;817,49
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2017M01;392,13
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M12;7.437,32
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M11;6.991,31
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M10;6.620,43
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M09;5.941,69
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M08;5.123,12
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M07;3.985,18
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M06;2.971,83
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M05;2.276,99
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M04;1.640,14
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M03;1.055,43
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M02;627,25
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2016M01;308,13
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2015M12;""
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2015M11;""
10 Comunitat Valenciana;Gasto total;Acumulado en lo que va de año;2015M10;1.215,11
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M07;9,39
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M06;8,67
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M05;9,37
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M04;8,46
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M03;4,73
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M02;3,39
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2026M01;3,06
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2025M12;6,01
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2025M11;5,84
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2025M10;5,63
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2025M09;6,43
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2025M08;6,56
10 Comunitat Valenciana;Gasto total;Tasa de variación acumulada;2025M07;6,66
